Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
labyrinth of refrain coven of dusk,pc ps4 nsw,nippon ichi,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
laser league,pc ps4 xbo,505 games,shooter,0,0,0,0,0,0,0,0,0,0,0,0
layers of fear legacy,nsw,bloober team,horror,0,0,0,0,0,0,0,0,0,0,0,0
legend of solgard,mob,kingcom,rpg,0,0,0,0,0,0,0,0,0,0,0,0
leisure suit larry wet dreams dont dry,pc,assemble entertainment,adventure,0,0,0,0,0,0,0,0,0,0,0,0
life is strange 2 episode 1,pc ps4 xbo,square enix,adventure,0,0,0,0,0,0,0,0,0,0,0,0
life is strange before the storm farewell,pc ps4 xbo,square enix,adventure,0,0,0,0,0,0,0,0,0,0,0,0
limbo,nsw,playdead,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
lost ark online,pc,smilegate megaport,rpg,0,0,0,0,0,0,0,0,0,0,0,0
lost in vivo,pc,kira,horror,0,0,0,0,0,0,0,0,0,0,0,0
lucah born of a dream,pc,syndicate atomic llc,rpg,0,0,0,0,0,0,0,0,0,0,0,0
luigis mansion,3ds,nintendo,horror remake,0,0,0,0,0,0,0,0,0,0,0,0
lumines remastered,pc ps4 xbo nsw,enhance games,puzzle remake,0,0,0,0,0,0,0,0,0,0,0,0
madden nfl 19,pc ps4 xbo,ea,sports,0,0,0,0,0,0,0,0,0,0,0,0
magic the gathering arena,pc,wizards of the coast,prcb,0,0,0,0,0,0,0,0,0,0,0,0
maplestory 2,pc,nexon,rpg,0,0,0,0,0,0,0,0,0,0,0,0
marble it up,pc nsw,marble it up,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
mario + rabbids kingdom battle donkey kong adventure,nsw,ubisoft,strategy,0,0,0,0,0,0,0,0,0,0,0,0
mario tennis aces,nsw,nintendo,sports,0,0,0,0,0,0,0,0,0,0,0,0
